[2020-02-09T12:25:39.592+0000][gc,heap] Heap region size: 1M
[2020-02-09T12:25:39.601+0000][gc     ] Using G1
[2020-02-09T12:25:39.601+0000][gc,heap,coops] Heap address: 0x00000000e0000000, size: 512 MB, Compressed Oops mode: 32-bit
[2020-02-09T12:26:01.261+0000][gc,start     ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2020-02-09T12:26:01.262+0000][gc,task      ] GC(0) Using 10 workers of 10 for evacuation
[2020-02-09T12:26:01.267+0000][gc,phases    ] GC(0)   Pre Evacuate Collection Set: 0.0ms
[2020-02-09T12:26:01.267+0000][gc,phases    ] GC(0)   Evacuate Collection Set: 3.6ms
[2020-02-09T12:26:01.267+0000][gc,phases    ] GC(0)   Post Evacuate Collection Set: 0.7ms
[2020-02-09T12:26:01.267+0000][gc,phases    ] GC(0)   Other: 1.5ms
[2020-02-09T12:26:01.267+0000][gc,heap      ] GC(0) Eden regions: 25->0(21)
[2020-02-09T12:26:01.267+0000][gc,heap      ] GC(0) Survivor regions: 0->4(4)
[2020-02-09T12:26:01.267+0000][gc,heap      ] GC(0) Old regions: 0->2
[2020-02-09T12:26:01.267+0000][gc,heap      ] GC(0) Humongous regions: 0->0
[2020-02-09T12:26:01.267+0000][gc,metaspace ] GC(0) Metaspace: 7561K->7561K(1056768K)
[2020-02-09T12:26:01.267+0000][gc           ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 25M->5M(512M) 6.066ms
[2020-02-09T12:26:01.267+0000][gc,cpu       ] GC(0) User=0.04s Sys=0.00s Real=0.01s
[2020-02-09T14:48:40.230+0000][gc,start     ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[2020-02-09T14:48:40.230+0000][gc,task      ] GC(1) Using 10 workers of 10 for evacuation
[2020-02-09T14:48:40.237+0000][gc,phases    ] GC(1)   Pre Evacuate Collection Set: 0.0ms
[2020-02-09T14:48:40.237+0000][gc,phases    ] GC(1)   Evacuate Collection Set: 5.4ms
[2020-02-09T14:48:40.237+0000][gc,phases    ] GC(1)   Post Evacuate Collection Set: 0.8ms
[2020-02-09T14:48:40.237+0000][gc,phases    ] GC(1)   Other: 0.3ms
[2020-02-09T14:48:40.237+0000][gc,heap      ] GC(1) Eden regions: 21->0(24)
[2020-02-09T14:48:40.237+0000][gc,heap      ] GC(1) Survivor regions: 4->1(4)
[2020-02-09T14:48:40.237+0000][gc,heap      ] GC(1) Old regions: 2->6
[2020-02-09T14:48:40.237+0000][gc,heap      ] GC(1) Humongous regions: 0->0
[2020-02-09T14:48:40.237+0000][gc,metaspace ] GC(1) Metaspace: 8212K->8212K(1056768K)
[2020-02-09T14:48:40.237+0000][gc           ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 26M->6M(512M) 6.752ms
[2020-02-09T14:48:40.237+0000][gc,cpu       ] GC(1) User=0.05s Sys=0.00s Real=0.01s
[2020-02-09T18:34:36.697+0000][gc,start     ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[2020-02-09T18:34:36.697+0000][gc,task      ] GC(2) Using 10 workers of 10 for evacuation
[2020-02-09T18:34:36.699+0000][gc,phases    ] GC(2)   Pre Evacuate Collection Set: 0.0ms
